experiment,description,epochs,best_epoch,best_val_acc,best_val_loss,best_eval_acc,final_train_acc,final_val_acc,final_train_loss,final_val_loss,avg_epoch_time_sec,total_train_time_sec,history_csv,curve_png,confusion_png,checkpoint
combo_full,Baseline + scale + translation + jitter + mirror + point dropout + occlusion,2,2,76.87224669603525,0.6521467710906713,76.87224669603525,72.43798546730143,76.87224669603525,0.8053257246717598,0.6521467710906713,268.525949716568,573.2273228168488,histories/combo_full_history.csv,figures/combo_full_curves.png,figures/combo_full_confusion_matrix.png,checkpoints/combo_full_best.pt
plus_occlusion,Baseline + random spherical occlusion,2,2,76.10132158590308,0.6994100742140531,76.10132158590308,77.74993735905788,76.10132158590308,0.6626689794278031,0.6994100742140531,268.94905400276184,574.0519852638245,histories/plus_occlusion_history.csv,figures/plus_occlusion_curves.png,figures/plus_occlusion_confusion_matrix.png,checkpoints/plus_occlusion_best.pt
plus_mirror,Baseline + random mirror (x/y),2,2,75.88105726872247,0.6560108553995645,75.88105726872247,77.42420446003509,75.88105726872247,0.670623175021372,0.6560108553995645,266.182265996933,568.5148630142212,histories/plus_mirror_history.csv,figures/plus_mirror_curves.png,figures/plus_mirror_confusion_matrix.png,checkpoints/plus_mirror_best.pt
plus_translate,Baseline + random translation,2,2,75.66079295154185,0.7131728931670672,75.66079295154185,75.14407416687547,75.66079295154185,0.7145269894116029,0.7131728931670672,268.4622794389725,573.0755889415741,histories/plus_translate_history.csv,figures/plus_translate_curves.png,figures/plus_translate_confusion_matrix.png,checkpoints/plus_translate_best.pt
plus_jitter,Baseline + clipped jitter,2,2,69.05286343612335,0.8242409754429619,69.05286343612335,76.5221748935104,69.05286343612335,0.7033768163471704,0.8242409754429619,267.69263327121735,571.5515606403351,histories/plus_jitter_history.csv,figures/plus_jitter_curves.png,figures/plus_jitter_confusion_matrix.png,checkpoints/plus_jitter_best.pt
combo_robust,Baseline + scale + translation + point dropout + occlusion,2,2,67.29074889867842,0.8784090482715993,67.29074889867842,72.31270358306189,67.29074889867842,0.8340204975952095,0.8784090482715993,267.06999254226685,570.2965607643127,histories/combo_robust_history.csv,figures/combo_robust_curves.png,figures/combo_robust_confusion_matrix.png,checkpoints/combo_robust_best.pt
plus_scale,Baseline + random isotropic scale,2,2,65.30837004405286,1.0500264407385813,65.30837004405286,74.69305938361313,65.30837004405286,0.7330859367544565,1.0500264407385813,267.29575526714325,570.7425003051758,histories/plus_scale_history.csv,figures/plus_scale_curves.png,figures/plus_scale_confusion_matrix.png,checkpoints/plus_scale_best.pt
baseline,RotationZ + Gaussian noise,2,2,64.20704845814979,1.0737389884725017,64.20704845814979,77.37409170633926,64.20704845814979,0.6793584207400019,1.0737389884725017,265.9568500518799,568.1600332260132,histories/baseline_history.csv,figures/baseline_curves.png,figures/baseline_confusion_matrix.png,checkpoints/baseline_best.pt
combo_geo,Baseline + scale + translation + jitter + mirror,2,2,61.8942731277533,1.1411870514506286,61.8942731277533,74.09170633926334,61.8942731277533,0.7637997667044513,1.1411870514506286,268.6061018705368,573.402825832367,histories/combo_geo_history.csv,figures/combo_geo_curves.png,figures/combo_geo_confusion_matrix.png,checkpoints/combo_geo_best.pt
plus_dropout,Baseline + random point dropout,2,1,58.480176211453745,1.4293004452919644,58.480176211453745,75.67025808068153,52.6431718061674,0.713563055569174,1.3303260881995314,267.1980378627777,570.4718408584595,histories/plus_dropout_history.csv,figures/plus_dropout_curves.png,figures/plus_dropout_confusion_matrix.png,checkpoints/plus_dropout_best.pt
