epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,no_improve_count
1,1.0424421487730329,65.42219994988724,0.8804493600313884,68.61233480176212,0.001,289.2563078403473,1,0
2,0.6339124965058386,78.87747431721372,0.7244280147394945,73.7885462555066,0.001,245.88588452339172,1,0
3,0.5239678284811872,82.15985968428966,0.9125615033415446,70.81497797356828,0.001,245.7397756576538,0,1
4,0.5177325415479841,81.63367577048359,0.7271094232272471,74.33920704845815,0.001,245.842919588089,0,2
5,0.4576442258022268,84.06414432473065,0.567633195201731,79.62555066079295,0.001,245.9135410785675,1,0
6,0.3922519385515971,85.96842896517164,0.5357131984265365,83.03964757709251,0.001,245.81636261940002,1,0
7,0.36329504467436796,86.94562766224004,0.4968531047063777,82.15859030837004,0.001,245.78886461257935,1,0
8,0.37696937554329446,86.87045853169631,0.5821668061915999,78.63436123348018,0.001,245.7966387271881,0,1
9,0.34781722976461865,87.82260085191682,0.5754255855923708,80.06607929515418,0.001,245.71251344680786,0,2
10,0.36347926742777853,87.4467551991982,0.533628911928721,81.27753303964758,0.001,245.8592598438263,0,3
11,0.3141013450474406,88.67451766474568,0.8021918634354805,75.88105726872247,0.001,245.8965871334076,0,4
12,0.3010488350613617,90.07767476822852,0.5895158481427226,80.39647577092511,0.001,245.90082693099976,0,5
13,0.33593442466318146,88.52417940365824,0.8901318367488584,70.04405286343612,0.001,245.84547305107117,0,6
14,0.3009689539667211,89.82711099974944,0.461472932035965,85.13215859030836,0.001,245.93537640571594,1,0
15,0.3055469861561659,89.72688549235781,0.49372346715648796,83.25991189427313,0.001,245.7923777103424,0,1
16,0.28585945590639794,90.6790278125783,0.4718635168238358,84.58149779735683,0.001,245.87431168556213,0,2
17,0.2755953329408775,90.47857679779504,0.5461844516351885,80.39647577092511,0.001,245.97099351882935,0,3
18,0.2764874110990107,90.55374592833876,0.43721135590832666,86.89427312775331,0.001,245.8763301372528,1,0
19,0.26797330850304535,90.42846404409923,0.5421583376792034,83.14977973568281,0.001,246.70210886001587,0,1
20,0.26284711639576763,91.20521172638436,0.5820315486796627,83.14977973568281,0.0005,247.61709856987,0,2
21,0.2079394063533129,92.58331245301929,0.38206617071371246,86.23348017621146,0.0005,246.69766688346863,1,0
22,0.204432944637198,92.58331245301929,0.3651622178008378,87.22466960352423,0.0005,246.4264211654663,1,0
23,0.1928337929549596,93.28489100476071,0.3405979621646688,89.42731277533039,0.0005,246.12828183174133,1,0
24,0.1923339551543867,93.33500375845652,0.37628437877357795,88.76651982378854,0.0005,246.02990174293518,0,1
25,0.18693257932882804,93.2347782510649,0.44058201427567373,86.78414096916299,0.0005,245.87258076667786,0,2
26,0.17205862585568124,93.81107491856677,0.40086704072448126,88.76651982378854,0.0005,245.8610384464264,0,3
27,0.16554742265213584,93.98646955650213,0.3832382466069665,88.54625550660793,0.0005,245.86971855163574,0,4
28,0.1874045095171017,93.81107491856677,0.38380848434199843,87.22466960352423,0.0005,245.86035346984863,0,5
29,0.1720111350708813,94.11175144074167,0.340429835481003,88.98678414096916,0.0005,245.8634786605835,0,6
30,0.1650402691785598,93.98646955650213,0.3923489014220133,87.33480176211454,0.0005,245.81281423568726,0,7
31,0.16918781966967888,94.03658231019794,0.4066513489258972,87.99559471365639,0.0005,245.90069317817688,0,8
32,0.17219671914673665,94.01152593335004,0.4184208872198796,88.76651982378854,0.0005,245.88117289543152,0,9
33,0.16785698561210197,94.26208970182911,0.4070396935362123,86.89427312775331,0.0005,245.96363925933838,0,10
34,0.17579880863823888,94.03658231019794,0.36126656689176473,87.77533039647577,0.0005,245.8705735206604,0,11
35,0.1552434125450792,94.38737158606865,0.37015930272737263,90.08810572687224,0.0005,245.87351822853088,0,12
36,0.1537104529064719,94.5126534703082,0.3432992765359942,88.98678414096916,0.0005,245.81634497642517,0,13
37,0.14519119020005392,94.68804810824355,0.48003747882034287,85.35242290748899,0.0005,245.90549683570862,0,14
38,0.1581244654552108,94.23703332498121,0.38373209844601835,88.54625550660793,0.0005,245.8229637145996,0,15
